AthleteID,ActivityID,StartTime,TotalElapsedTime,TotalDistanceMeters,MaxSpeedMPH,MeasuredTime,Latitude,Longitude,AltitudeMeters,DistanceMeters,current_speedMPH,CurrentGrade
421122,591289691,2016-05-28 14:44:01,1:38:06,24079.8,33.106657092,2016-05-28 14:44:01,47.734919,-117.518879,503.4,0.0,0.0,0.0
421122,591289691,2016-05-28 14:44:01,1:38:06,24079.8,33.106657092,2016-05-28 14:44:05,47.734887,-117.518851,503.4,4.2,2.460629919,0.0
421122,591289691,2016-05-28 14:44:01,1:38:06,24079.8,33.106657092,2016-05-28 15:05:03,47.734875,-117.518866,503.4,12.4,0.0,0.0
421122,591289691,2016-05-28 14:44:01,1:38:06,24079.8,33.106657092,2016-05-28 15:05:04,47.734903,-117.5189,503.4,16.4,0.0,-0.5
421122,591289691,2016-05-28 14:44:01,1:38:06,24079.8,33.106657092,2016-05-28 15:05:05,47.734936,-117.51893,503.4,20.6,0.0,-0.6
421122,591289691,2016-05-28 14:44:01,1:38:06,24079.8,33.106657092,2016-05-28 15:05:06,47.734969,-117.518958,503.3,25.0,0.0,-0.5
421122,591289691,2016-05-28 14:44:01,1:38:06,24079.8,33.106657092,2016-05-28 15:05:07,47.735008,-117.518989,503.3,29.8,0.0,-0.5
421122,591289691,2016-05-28 14:44:01,1:38:06,24079.8,33.106657092,2016-05-28 15:05:08,47.735055,-117.519015,503.3,35.4,0.0,-0.5
421122,591289691,2016-05-28 14:44:01,1:38:06,24079.8,33.106657092,2016-05-28 15:05:09,47.735095,-117.519059,503.3,41.0,0.0,-0.4
421122,591289691,2016-05-28 14:44:01,1:38:06,24079.8,33.106657092,2016-05-28 15:05:10,47.735133,-117.519116,503.2,47.0,11.855762337,-0.4
421122,591289691,2016-05-28 14:44:01,1:38:06,24079.8,33.106657092,2016-05-28 15:05:11,47.735177,-117.519168,503.2,53.2,12.526843224,-0.8
421122,591289691,2016-05-28 14:44:01,1:38:06,24079.8,33.106657092,2016-05-28 15:05:12,47.735226,-117.519213,503.2,59.6,13.42161774,-0.4
421122,591289691,2016-05-28 14:44:01,1:38:06,24079.8,33.106657092,2016-05-28 15:05:13,47.735269,-117.519248,503.1,65.1,13.197924111,-0.8
421122,591289691,2016-05-28 14:44:01,1:38:06,24079.8,33.106657092,2016-05-28 15:05:14,47.73532,-117.519295,503.1,71.7,13.645311369,-0.8
421122,591289691,2016-05-28 14:44:01,1:38:06,24079.8,33.106657092,2016-05-28 15:05:15,47.735358,-117.51935,503.0,77.6,13.645311369,-0.8
421122,591289691,2016-05-28 14:44:01,1:38:06,24079.8,33.106657092,2016-05-28 15:05:16,47.735407,-117.519407,503.0,84.6,14.092698627,-0.8
421122,591289691,2016-05-28 14:44:01,1:38:06,24079.8,33.106657092,2016-05-28 15:05:17,47.73544,-117.519471,502.9,90.6,13.869004998000001,-1.1
